,gene,pvalue,qvalue,TIC
776,CAP1,0.0004999500049995,0.007292959022625939,7.972178428742349
777,IPO5,0.0004999500049995,0.007292959022625939,7.899700549352571
778,DYNLT1,0.0004999500049995,0.007292959022625939,7.856667967554765
779,TMEM59,0.0004999500049995,0.007292959022625939,7.677497030042864
780,ENO1,0.0004999500049995,0.007292959022625939,7.511743622942211
781,STAT3,0.0004999500049995,0.007292959022625939,7.486021545091548
782,DAZAP1,0.0004999500049995,0.007292959022625939,6.980264030816284
783,FAM3C,0.0004999500049995,0.007292959022625939,6.935199187388037
784,CRIM1,0.0004999500049995,0.007292959022625939,6.830402453629268
785,FOSL2,0.0004999500049995,0.007292959022625939,6.459925409056309
786,PDLIM5,0.0004999500049995,0.007292959022625939,6.459877294883226
787,SUCLG2,0.0004999500049995,0.007292959022625939,6.394360247556685
788,UACA,0.0004999500049995,0.007292959022625939,5.93612891401861
789,TMEM50A,0.0004999500049995,0.007292959022625939,5.791297366087593
790,IDS,0.0004999500049995,0.007292959022625939,5.782646248056058
791,NBN,0.0004999500049995,0.007292959022625939,5.774576050443959
792,CREBZF,0.0004999500049995,0.007292959022625939,5.735637840369472
793,NKTR,0.0004999500049995,0.007292959022625939,5.622811731957667
794,SEC63,0.0004999500049995,0.007292959022625939,5.606214073567512
795,AHCYL1,0.0004999500049995,0.007292959022625939,5.51304366822847
796,IFNGR2,0.0004999500049995,0.007292959022625939,5.426742196835578
797,HECTD1,0.0004999500049995,0.007292959022625939,5.370947682296441
798,RSL24D1,0.0005999400059994001,0.008414141638634456,16.631094719989314
799,PGK1,0.0005999400059994001,0.008414141638634456,13.663802968710907
800,ADGRG1,0.0005999400059994001,0.008414141638634456,13.329863757854072
801,SARAF,0.0005999400059994001,0.008414141638634456,13.1936343303966
802,PSMB1,0.0005999400059994001,0.008414141638634456,12.689347556129775
803,PROM2,0.0005999400059994001,0.008414141638634456,12.212166394794359
804,PDIA3,0.0005999400059994001,0.008414141638634456,10.84405821263902
805,ASPH,0.0005999400059994001,0.008414141638634456,10.80749793045249
806,TACSTD2,0.0005999400059994001,0.008414141638634456,10.513101592439497
807,GUK1,0.0005999400059994001,0.008414141638634456,10.252998223077332
808,WSB1,0.0005999400059994001,0.008414141638634456,10.01877866101219
809,ATP6V1G1,0.0005999400059994001,0.008414141638634456,9.932962204508206
810,TGFBR1,0.0005999400059994001,0.008414141638634456,9.900743832801785
811,CIB1,0.0005999400059994001,0.008414141638634456,9.82775019499477
812,STT3A,0.0005999400059994001,0.008414141638634456,8.959956027969751
813,LYPLA1,0.0005999400059994001,0.008414141638634456,8.770237654011952
814,CAPRIN1,0.0005999400059994001,0.008414141638634456,8.545270665381722
815,FDFT1,0.0005999400059994001,0.008414141638634456,8.431840347933587
816,C6orf62,0.0005999400059994001,0.008414141638634456,7.936740174419544
817,CTBP1,0.0005999400059994001,0.008414141638634456,7.616930905381717
818,MRC2,0.0005999400059994001,0.008414141638634456,6.987854764877313
819,IER3IP1,0.0005999400059994001,0.008414141638634456,6.916348069274182
820,SGK1,0.0005999400059994001,0.008414141638634456,6.79993578880886
821,SEP15,0.0005999400059994001,0.008414141638634456,6.659315085613848
822,GNPNAT1,0.0005999400059994001,0.008414141638634456,6.522063787839477
823,PNMT,0.0005999400059994001,0.008414141638634456,6.297863437296622
824,VAPA,0.0005999400059994001,0.008414141638634456,5.697598452761927
825,ZFAND5,0.0005999400059994001,0.008414141638634456,5.380324746362584
826,YBX3,0.0005999400059994001,0.008414141638634456,5.362144760709764
827,PGAM1,0.0005999400059994001,0.008414141638634456,5.354105133876823
828,MRPL51,0.0005999400059994001,0.008414141638634456,5.350184125050312
829,HN1L,0.0005999400059994001,0.008414141638634456,5.321223138081727
830,ENSA,0.0006999300069993001,0.009574258307964394,21.997882660703635
831,CCND1,0.0006999300069993001,0.009574258307964394,15.876184167054765
832,MLLT6,0.0006999300069993001,0.009574258307964394,14.515279176351033
833,OAT,0.0006999300069993001,0.009574258307964394,14.489766999908193
834,SEPT9,0.0006999300069993001,0.009574258307964394,11.525130998356914
835,UGP2,0.0006999300069993001,0.009574258307964394,9.59023874488686
836,ITGB5,0.0006999300069993001,0.009574258307964394,9.544065269612329
837,C1orf43,0.0006999300069993001,0.009574258307964394,9.523444255888837
838,SPP1,0.0006999300069993001,0.009574258307964394,9.49652063470926
839,SEC61B,0.0006999300069993001,0.009574258307964394,9.103659814610301
840,ARHGAP1,0.0006999300069993001,0.009574258307964394,9.032136536649228
841,EIF4B,0.0006999300069993001,0.009574258307964394,8.7024376397953
842,ARFGEF3,0.0006999300069993001,0.009574258307964394,8.36681269504879
843,SNRPG,0.0006999300069993001,0.009574258307964394,8.332698445829763
844,CLIC1,0.0006999300069993001,0.009574258307964394,8.074902948544802
845,IRX5,0.0006999300069993001,0.009574258307964394,7.337276357395987
846,AP1G1,0.0006999300069993001,0.009574258307964394,6.823375864588337
847,TOMM7,0.0006999300069993001,0.009574258307964394,6.628707171931643
848,EIF2AK1,0.0006999300069993001,0.009574258307964394,6.244831928279543
849,ECI2,0.0006999300069993001,0.009574258307964394,6.074690317312596
850,NR4A1,0.0006999300069993001,0.009574258307964394,5.595405907913359
851,CPD,0.0007999200079992001,0.010715362577777676,15.81566110401056
852,GOLM1,0.0007999200079992001,0.010715362577777676,14.735923464503882
853,PGRMC1,0.0007999200079992001,0.010715362577777676,13.470844907658105
854,PRRX1,0.0007999200079992001,0.010715362577777676,10.43382766829859
855,RRBP1,0.0007999200079992001,0.010715362577777676,9.776965501417235
856,RCN1,0.0007999200079992001,0.010715362577777676,8.745870823489996
857,MXRA8,0.0007999200079992001,0.010715362577777676,7.987804289645735
858,RAB5B,0.0007999200079992001,0.010715362577777676,7.882782632690574
859,PAPOLA,0.0007999200079992001,0.010715362577777676,7.745709158324518
860,G3BP1,0.0007999200079992001,0.010715362577777676,7.288346251911061
861,TCF4,0.0007999200079992001,0.010715362577777676,6.312384329224015
862,USP47,0.0007999200079992001,0.010715362577777676,6.160309032711832
863,TNRC18,0.0007999200079992001,0.010715362577777676,6.1090773801454015
864,EIF3A,0.0007999200079992001,0.010715362577777676,6.066081644466262
865,CNDP2,0.0007999200079992001,0.010715362577777676,6.047457593054944
866,YAP1,0.0007999200079992001,0.010715362577777676,5.984872278807085
867,SF3B1,0.0007999200079992001,0.010715362577777676,5.832104921530892
868,NET1,0.0007999200079992001,0.010715362577777676,5.826023323786248
869,SCGB2A2,0.0008999100089991,0.011770344202359437,17.41366309766696
870,EPCAM,0.0008999100089991,0.011770344202359437,13.872921061567965
871,MBOAT7,0.0008999100089991,0.011770344202359437,12.621380450495776
872,TYMP,0.0008999100089991,0.011770344202359437,11.758663592170482
873,PERP,0.0008999100089991,0.011770344202359437,10.931971345749064
874,PLXNB2,0.0008999100089991,0.011770344202359437,10.813959897941485
875,RAB5C,0.0008999100089991,0.011770344202359437,9.601720738715064
876,DDB1,0.0008999100089991,0.011770344202359437,9.597636281339812
877,MT1X,0.0008999100089991,0.011770344202359437,9.518332890959897
878,SYPL1,0.0008999100089991,0.011770344202359437,8.837508423632203
879,ACADVL,0.0008999100089991,0.011770344202359437,8.802379404243686
880,F2R,0.0008999100089991,0.011770344202359437,8.232497769926052
881,FLNB,0.0008999100089991,0.011770344202359437,7.925963651712676
882,HACD3,0.0008999100089991,0.011770344202359437,7.731755574254154
883,KDM2A,0.0008999100089991,0.011770344202359437,7.348890913052069
884,FYTTD1,0.0008999100089991,0.011770344202359437,7.089263066805007
885,CBWD7,0.0008999100089991,0.011770344202359437,6.795275982880426
886,FAM198B,0.0008999100089991,0.011770344202359437,6.724640236857626
887,MDH1,0.0008999100089991,0.011770344202359437,6.1077358929059695
888,IFT52,0.0008999100089991,0.011770344202359437,5.785159104777891
889,ANKRD30A,0.0008999100089991,0.011770344202359437,5.421367290920407
890,CTGF,0.000999900009999,0.0128613951382442,16.16912738329765
891,RNASET2,0.000999900009999,0.0128613951382442,11.06512492191601
892,SLC7A8,0.000999900009999,0.0128613951382442,10.974000243770032
893,PSMD2,0.000999900009999,0.0128613951382442,10.534984248021463
894,VASP,0.000999900009999,0.0128613951382442,9.985647004827246
895,MANBAL,0.000999900009999,0.0128613951382442,9.740634645217186
896,USMG5,0.000999900009999,0.0128613951382442,8.897407548424802
897,PSME2,0.000999900009999,0.0128613951382442,7.992265891872616
898,PARP1,0.000999900009999,0.0128613951382442,7.584990623292192
899,LAMTOR5,0.000999900009999,0.0128613951382442,7.1044785790353835
900,PRKAR1A,0.000999900009999,0.0128613951382442,6.898200138943517
901,ABI1,0.000999900009999,0.0128613951382442,5.966802339448406
902,ARHGEF12,0.000999900009999,0.0128613951382442,5.960571470420451
903,ANAPC16,0.000999900009999,0.0128613951382442,5.686952872671469
904,ARPC2,0.000999900009999,0.0128613951382442,5.440941574464801
905,NINJ1,0.0010998900109989002,0.013932011817325465,15.048050750478817
906,TRPS1,0.0010998900109989002,0.013932011817325465,13.309960041511651
907,PKM,0.0010998900109989002,0.013932011817325465,12.751479142427415
908,CDC42,0.0010998900109989002,0.013932011817325465,11.257075965626296
909,SOGA1,0.0010998900109989002,0.013932011817325465,10.09169404197642
910,CYFIP1,0.0010998900109989002,0.013932011817325465,9.412146178343876
911,TXNDC17,0.0010998900109989002,0.013932011817325465,9.196532024171255
912,MRPL13,0.0010998900109989002,0.013932011817325465,8.528409030196325
913,ATP2C1,0.0010998900109989002,0.013932011817325465,8.144378231227435
914,CHCHD1,0.0010998900109989002,0.013932011817325465,7.140721867840434
915,XPOT,0.0010998900109989002,0.013932011817325465,6.5416087894812005
916,ID2,0.0010998900109989002,0.013932011817325465,5.921138412379227
917,YME1L1,0.0010998900109989002,0.013932011817325465,5.60016613669253
918,VPS26B,0.0010998900109989002,0.013932011817325465,5.581622724250023
919,PDIA4,0.0011998800119988001,0.014922516153988463,11.997218661209716
920,CLTC,0.0011998800119988001,0.014922516153988463,10.4463578217033
921,MKNK2,0.0011998800119988001,0.014922516153988463,9.65547282601821
922,F11R,0.0011998800119988001,0.014922516153988463,8.074657314364327
923,NFIC,0.0011998800119988001,0.014922516153988463,8.016166616447213
924,MPZL1,0.0011998800119988001,0.014922516153988463,7.900420171691235
925,CCNI,0.0011998800119988001,0.014922516153988463,7.336217561656898
926,COX5A,0.0011998800119988001,0.014922516153988463,6.458307727791699
927,NDUFS2,0.0011998800119988001,0.014922516153988463,6.321811898829038
928,GALNT2,0.0011998800119988001,0.014922516153988463,6.259296561323576
929,GPBP1,0.0011998800119988001,0.014922516153988463,5.911513910056393
930,GLB1,0.0011998800119988001,0.014922516153988463,5.879581038689398
931,ISG15,0.0011998800119988001,0.014922516153988463,5.82459411885704
932,SEC16A,0.0011998800119988001,0.014922516153988463,5.738884870924559
933,TMEM131,0.0011998800119988001,0.014922516153988463,5.607917118733202
934,LRRFIP1,0.0011998800119988001,0.014922516153988463,5.354676935245457
935,SYNE2,0.0011998800119988001,0.014922516153988463,5.299256973803484
936,AES,0.0012998700129987,0.016012096698565396,17.306487381897252
937,WFDC2,0.0012998700129987,0.016012096698565396,14.97038359633326
938,EIF3B,0.0012998700129987,0.016012096698565396,13.445271126879874
939,HSPA5,0.0012998700129987,0.016012096698565396,11.395315068811108
940,IFITM3,0.0012998700129987,0.016012096698565396,10.126954489990895
941,SCCPDH,0.0012998700129987,0.016012096698565396,9.39695368986
942,TSPAN3,0.0012998700129987,0.016012096698565396,8.511314065855352
943,PPP1CC,0.0012998700129987,0.016012096698565396,8.343983250787494
944,STARD7,0.0012998700129987,0.016012096698565396,6.994356480958629
945,ADAM15,0.0013998600139986002,0.016974362125161874,14.559667443079972
946,EIF5,0.0013998600139986002,0.016974362125161874,9.914848801633696
947,COL4A1,0.0013998600139986002,0.016974362125161874,9.45105215435544
948,CBWD1,0.0013998600139986002,0.016974362125161874,9.388337097467963
949,AAR2,0.0013998600139986002,0.016974362125161874,8.498770338239588
950,JUN,0.0013998600139986002,0.016974362125161874,7.6221169632432515
951,TPD52L1,0.0013998600139986002,0.016974362125161874,7.32752920209048
952,TIMM17A,0.0013998600139986002,0.016974362125161874,7.006541994905182
953,G3BP2,0.0013998600139986002,0.016974362125161874,6.629910720678705
954,TTC3,0.0013998600139986002,0.016974362125161874,5.824877702114705
955,TOR1AIP2,0.0013998600139986002,0.016974362125161874,5.767211153507939
956,SPCS3,0.0013998600139986002,0.016974362125161874,5.756353268835406
957,ETNK1,0.0013998600139986002,0.016974362125161874,5.5002425832705395
958,SNRPD2,0.0013998600139986002,0.016974362125161874,5.373407134077618
959,SMIM7,0.0013998600139986002,0.016974362125161874,5.34706999031142
960,BSG,0.0014998500149985001,0.017888672028859118,13.046445058039946
961,TFRC,0.0014998500149985001,0.017888672028859118,11.1731439684498
962,COPZ1,0.0014998500149985001,0.017888672028859118,10.60498889696639
963,PAK4,0.0014998500149985001,0.017888672028859118,10.602064276617764
964,CITED2,0.0014998500149985001,0.017888672028859118,10.08376857699109
965,RAE1,0.0014998500149985001,0.017888672028859118,9.136432765459801
966,TIMP2,0.0014998500149985001,0.017888672028859118,8.328047692672204
967,RUNX1,0.0014998500149985001,0.017888672028859118,7.187638990751758
968,ACTR3,0.0014998500149985001,0.017888672028859118,7.064406783748191
969,TBL1XR1,0.0014998500149985001,0.017888672028859118,6.8689677533328215
970,EIF2S2,0.0014998500149985001,0.017888672028859118,6.847143636707155
971,AP1M2,0.0014998500149985001,0.017888672028859118,6.8266860946827475
972,EIF4H,0.0014998500149985001,0.017888672028859118,6.66627135716348
973,KPNA2,0.0014998500149985001,0.017888672028859118,6.120279795906052
974,SF1,0.0014998500149985001,0.017888672028859118,5.877003858903748
975,NONO,0.0014998500149985001,0.017888672028859118,5.85250158402939
976,ACACA,0.0015998400159984002,0.018926118048960976,18.3577545501198
977,FAM214A,0.0015998400159984002,0.018926118048960976,13.817900932878498
978,MRPL45,0.0015998400159984002,0.018926118048960976,11.849739005258494
979,WBSCR22,0.0015998400159984002,0.018926118048960976,10.819650576529028
980,TFG,0.0015998400159984002,0.018926118048960976,6.817130341390061
981,AKT1,0.0015998400159984002,0.018926118048960976,6.814220480717104
982,PSMA4,0.0015998400159984002,0.018926118048960976,6.807912147020834
983,SON,0.0015998400159984002,0.018926118048960976,5.689871097623113
984,TPD52,0.0016998300169983002,0.019906696599787423,15.241076675586342
985,MMP11,0.0016998300169983002,0.019906696599787423,10.693371264265073
986,RARRES3,0.0016998300169983002,0.019906696599787423,8.877552300831825
987,AMFR,0.0016998300169983002,0.019906696599787423,7.666852565907349
988,GTF2I,0.0016998300169983002,0.019906696599787423,7.156817083798417
989,CTSL,0.0016998300169983002,0.019906696599787423,6.996484604946059
990,HDGF,0.0016998300169983002,0.019906696599787423,6.702649379253929
991,CLNS1A,0.0016998300169983002,0.019906696599787423,6.241677822258882
992,SRSF11,0.0016998300169983002,0.019906696599787423,6.223694012609735
993,TCP1,0.0016998300169983002,0.019906696599787423,5.758056804698393
994,EMP2,0.0017998200179982,0.02084697779124358,9.276313810566318
995,SEPHS2,0.0017998200179982,0.02084697779124358,8.71424668157077
996,ESR1,0.0017998200179982,0.02084697779124358,8.024860523885218
997,NPC2,0.0017998200179982,0.02084697779124358,7.925415766463085
998,WNK1,0.0017998200179982,0.02084697779124358,7.621142700889715
999,RSL1D1,0.0017998200179982,0.02084697779124358,6.863765978734912
1000,APEX1,0.0017998200179982,0.02084697779124358,6.792135332839923
1001,ANXA1,0.0017998200179982,0.02084697779124358,6.216926179584214
1002,ANXA4,0.0017998200179982,0.02084697779124358,5.406353880403636
1003,TRIP11,0.0017998200179982,0.02084697779124358,5.362185311453057
1004,PPP5C,0.0017998200179982,0.02084697779124358,5.278127197590417
1005,ECH1,0.0018998100189981002,0.021874548902285757,19.93891141925402
1006,SELT,0.0018998100189981002,0.021874548902285757,8.281026828227581
1007,SERPINH1,0.0018998100189981002,0.021874548902285757,7.62161110606753
1008,TAF10,0.0018998100189981002,0.021874548902285757,7.087403792411075
1009,C14orf166,0.0018998100189981002,0.021874548902285757,6.035296296299691
1010,HIPK3,0.0018998100189981002,0.021874548902285757,5.3543042107942105
1011,APOD,0.001999800019998,0.023003088142511858,16.81711593523066
1012,S100A14,0.0020997900209979003,0.023916909452282878,13.038496757926607
1013,CYB5A,0.0020997900209979003,0.023916909452282878,10.568187854204073
1014,CA12,0.0020997900209979003,0.023916909452282878,9.206299623914784
1015,NPM1,0.0020997900209979003,0.023916909452282878,8.90258554050259
1016,PHF20,0.0020997900209979003,0.023916909452282878,8.641959542548461
1017,JUNB,0.0020997900209979003,0.023916909452282878,7.303724390254705
1018,SHISA5,0.0020997900209979003,0.023916909452282878,6.967593088535713
1019,SOCS7,0.0020997900209979003,0.023916909452282878,6.658623086445717
1020,OCIAD1,0.0020997900209979003,0.023916909452282878,6.28484954568635
1021,KIAA1217,0.0020997900209979003,0.023916909452282878,5.682887623605631
1022,AGT,0.0021997800219978004,0.024861201670140002,13.41130191222297
1023,PPP4C,0.0021997800219978004,0.024861201670140002,7.425850672979109
1024,COL18A1,0.0021997800219978004,0.024861201670140002,7.233675702949036
1025,AHR,0.0021997800219978004,0.024861201670140002,6.499483371201805
1026,ARPC5L,0.0021997800219978004,0.024861201670140002,5.908710482219838
1027,MTHFD2,0.0021997800219978004,0.024861201670140002,5.644786321199904
1028,MAGT1,0.0021997800219978004,0.024861201670140002,5.446799738661446
1029,KIAA0196,0.0021997800219978004,0.024861201670140002,5.342047433857075
1030,MAGED1,0.0022997700229977,0.02576611547666535,10.371194326716962
1031,CLDN4,0.0022997700229977,0.02576611547666535,10.198279934632183
1032,TP53INP1,0.0022997700229977,0.02576611547666535,9.424226226129143
1033,LRP10,0.0022997700229977,0.02576611547666535,9.301531451985555
1034,EMILIN1,0.0022997700229977,0.02576611547666535,7.760327521891964
1035,SERINC1,0.0022997700229977,0.02576611547666535,7.367371011719409
1036,TRIOBP,0.0022997700229977,0.02576611547666535,6.509057766011021
1037,ATP5C1,0.0022997700229977,0.02576611547666535,6.498832164933698
1038,DCAF8,0.0022997700229977,0.02576611547666535,5.963733503258835
1039,SERPINA5,0.0023997600239976003,0.026630076492151,14.500733990897023
1040,TMED3,0.0023997600239976003,0.026630076492151,11.38578877334794
1041,TUFM,0.0023997600239976003,0.026630076492151,10.785676958550104
1042,CTSF,0.0023997600239976003,0.026630076492151,9.72664585359732
1043,HES4,0.0023997600239976003,0.026630076492151,9.33339230458951
1044,PSMA2,0.0023997600239976003,0.026630076492151,8.79308621582837
1045,ANP32B,0.0023997600239976003,0.026630076492151,6.186429888766725
1046,GABARAP,0.0023997600239976003,0.026630076492151,6.035087910525209
1047,GOLPH3,0.0023997600239976003,0.026630076492151,5.835408913933062
1048,RGL2,0.0023997600239976003,0.026630076492151,5.464888218913244
1049,UBE2I,0.0024997500249975004,0.027634289174052706,6.909109131858538
1050,H2AFV,0.0024997500249975004,0.027634289174052706,6.834803913415697
